City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Kantang,TH,7.4054,99.5156,78.57,89,100,1.66,moderate rain
241,Sandi,IN,27.3,79.95,79.86,85,99,5.68,overcast clouds
242,Mangai,CD,-4.05,19.5333,91.44,27,53,3.13,broken clouds
243,Tungor,RU,53.3808,142.9564,51.94,92,35,10.54,scattered clouds
244,Nioro,GM,13.35,-15.75,76.1,91,99,7.99,heavy intensity rain
245,Taraz,KZ,42.9,71.3667,81.01,28,75,8.95,broken clouds
246,Airai,TL,-8.9266,125.4092,57.49,92,91,3.33,overcast clouds
247,Contamana,PE,-7.3333,-75.0167,92.55,42,16,3.69,few clouds
248,Cayenne,GF,4.9333,-52.3333,89.64,10,20,9.22,few clouds
249,Podor,MR,16.6527,-14.9587,91.53,44,89,11.97,overcast clouds
250,Mahebourg,MU,-20.4081,57.7,71.26,71,31,18.1,scattered clouds
251,Aasiaat,GL,68.7098,-52.8699,40.89,92,49,11.01,scattered clouds
252,Krasnyy Oktyabr,RU,56.1167,38.8833,67.15,55,43,7.16,scattered clouds
253,Gao,ML,16.6362,1.637,106.27,12,37,9.82,scattered clouds
254,Port Lincoln,AU,-34.7333,135.8667,51.46,78,6,11.56,clear sky
255,Avera,US,33.194,-82.5271,89.11,42,0,11.32,clear sky
256,San Carlos,VE,9.6612,-68.5827,82.65,78,69,2.19,broken clouds
257,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,96.04,12,2,4.59,clear sky
258,Longfeng,CN,46.55,125.1167,74.1,89,4,8.9,clear sky
259,Lagoa,PT,39.05,-27.9833,72.97,71,1,4.61,clear sky
260,Abong Mbang,CM,3.9833,13.1833,74.71,77,93,2.08,light rain
261,Marzuq,YE,14.4,46.4667,81.09,65,5,12.37,light rain
262,Santiago Del Estero,AR,-27.7951,-64.2615,71.94,18,0,5.41,clear sky
263,Macclesfield,GB,53.2602,-2.1256,71.38,64,16,13.8,few clouds
264,Palmer,US,42.1584,-72.3287,83.86,52,75,5.75,broken clouds
265,Kulhudhuffushi,MV,6.6221,73.07,78.15,89,100,22.93,moderate rain
